id,web_name,team_name,position,price,selected_by_percent,total_points,event_points,form,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,first_name,in_dreamteam,news,news_added,now_cost,photo,removed,second_name,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,region,team_join_date,birth_date,has_temporary_code,opta_code,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
11,White,Arsenal,DEF,5.3,0.4,6,0,0.0,6.0,70,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,0.01,0.01,0.02,0.87,True,True,100.0,100.0,198869,-1,1,-2,2,0,2,1.0,1.0,Benjamin,False,,2025-09-18T04:00:07.778280Z,53,198869.jpg,False,White,False,,a,1,3,31352,309,91024,1293,0.0,1.1,241.0,2021-07-30,1997-10-08,False,p198869,6,4,2,8,1,370,137,334,115,380,135,389,136,,,,,,,0.01,0.0,0.01,0.02,1.12,0.0,198,26,701,241,9,5,265,101,1.29,1.29,10.29
13,Clarke,Arsenal,DEF,3.9,0.5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,563324,0,0,-1,1,0,2,1.0,1.0,Brayden,False,,,39,563324.jpg,False,Clarke,False,,a,1,3,27552,181,48578,1175,0.0,0.0,,,,False,p563324,0,0,0,0,0,470,179,453,177,420,166,470,178,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,736,236,419,161,478,179,245,90,0.0,0.0,0.0
14,Kacurri,Arsenal,DEF,3.9,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,588793,0,0,-1,1,0,2,0.0,0.0,Maldini,False,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,588793.jpg,False,Kacurri,False,,u,1,3,10218,0,19114,350,0.0,0.0,,,,False,p588793,0,0,0,0,0,474,182,457,180,424,169,474,181,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,741,240,423,164,482,182,428,157,0.0,0.0,0.0
15,Nichols,Arsenal,DEF,3.9,0.2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,499167,0,0,-1,1,0,2,1.0,1.0,Josh,False,,,39,499167.jpg,False,Nichols,False,,a,1,3,13074,52,17160,479,0.0,0.0,241.0,2024-07-24,2006-07-26,False,p499167,0,0,0,0,0,457,167,440,165,407,154,457,166,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,722,223,405,148,465,167,368,130,0.0,0.0,0.0
16,Saka,Arsenal,MID,10.1,17.1,33,3,4.3,4.1,591,2,0,5,1,0,0,0,0,0,0,2,112,144.6,220.6,183.0,54.8,1.89,2.07,3.96,3.99,True,True,100.0,100.0,223340,0,0,1,-1,0,3,5.3,5.3,Bukayo,False,,2025-08-23T22:30:05.759392Z,101,223340.jpg,False,Saka,False,,a,1,3,2132960,18786,1905708,59323,0.4,3.3,241.0,2018-11-28,2001-09-05,False,p223340,2,33,10,45,7,114,39,24,22,27,15,25,18,1.0,,4.0,,1.0,,0.29,0.0,0.32,0.61,0.61,0.15,5,3,63,32,73,30,23,8,1.07,0.76,6.85
17,Ødegaard,Arsenal,MID,7.8,1.4,13,0,0.0,2.2,201,0,1,1,1,0,0,0,0,0,0,0,47,43.0,65.0,22.0,13.0,0.14,0.81,0.95,2.36,True,True,0.0,0.0,184029,-1,1,-2,2,0,3,0.0,0.0,Martin,False,Knee injury - Expected back 23 Nov,2025-10-04T20:00:07.945438Z,78,184029.jpg,False,Ødegaard,False,,i,1,3,133114,38,408535,2337,0.0,1.7,161.0,2021-08-20,1998-12-17,False,p184029,6,10,3,19,4,300,135,157,107,273,148,279,138,3.0,,2.0,,3.0,,0.06,0.0,0.36,0.42,1.06,0.45,19,13,743,330,252,112,152,53,1.79,0.45,8.51
18,Madueke,Arsenal,MID,6.8,0.6,10,0,0.0,2.0,304,0,0,2,2,0,0,0,0,0,0,0,39,30.2,111.7,105.0,24.6,0.29,0.86,1.15,2.04,True,True,0.0,0.0,248857,0,0,-2,2,0,3,0.0,0.0,Noni,False,Knee injury - Expected back 23 Nov,2025-09-21T22:30:05.839272Z,68,248857.jpg,False,Madueke,False,,i,1,3,148936,23,224123,1167,0.0,1.5,241.0,2025-07-18,2002-03-10,False,p248857,1,10,3,14,4,328,149,80,60,75,44,162,86,,,,,,,0.09,0.0,0.25,0.34,0.6,0.59,45,29,737,327,279,127,220,73,1.18,0.59,4.14
19,Martinelli,Arsenal,MID,6.9,1.0,16,0,0.7,2.0,214,1,0,1,0,0,0,0,0,0,0,1,56,51.0,30.6,93.0,17.5,0.75,0.08,0.83,1.97,True,True,25.0,25.0,444145,0,0,-1,1,0,3,0.4,0.4,Gabriel,False,Knock - 25% chance of playing,2025-10-28T21:00:08.076588Z,69,444145.jpg,False,Martinelli Silva,False,,d,1,3,91347,44,160225,8305,0.1,2.3,30.0,2019-07-15,2001-06-18,False,p444145,3,10,3,16,2,276,120,254,153,92,57,229,117,,,,,,,0.32,0.0,0.03,0.35,0.83,0.0,41,25,303,148,280,128,180,62,0.84,0.42,6.73
20,Trossard,Arsenal,MID,6.9,0.5,31,6,6.3,3.9,552,1,2,4,2,0,0,0,0,0,0,2,105,111.6,136.7,163.0,41.1,1.87,0.84,2.71,3.17,True,True,100.0,100.0,116216,0,0,-1,1,0,3,7.3,7.3,Leandro,False,,2025-08-29T18:30:07.885490Z,69,116216.jpg,False,Trossard,False,,a,1,3,49010,5465,33935,1288,0.9,4.5,21.0,2023-01-20,1994-12-04,False,p116216,6,16,4,26,6,170,70,60,46,39,22,66,42,,,,,4.0,,0.3,0.0,0.14,0.44,0.52,0.33,38,23,17,8,89,38,226,76,0.98,0.65,4.24
21,Rice,Arsenal,MID,6.8,16.7,63,13,7.7,6.3,803,2,4,6,3,0,0,0,0,0,0,10,238,251.4,295.2,89.0,63.6,1.11,2.18,3.29,5.01,True,True,100.0,100.0,204480,1,-1,3,-3,2,3,8.7,8.7,Declan,True,,2025-10-04T20:00:07.968078Z,68,204480.jpg,False,Rice,False,,a,1,3,1621935,252395,645373,5035,1.1,9.3,241.0,2023-07-15,1999-01-14,False,p204480,27,43,14,84,9,20,6,4,4,95,59,17,12,2.0,,1.0,,,,0.12,0.0,0.24,0.36,0.56,0.34,43,27,7,3,6,2,24,9,1.01,0.67,9.41
22,Merino,Arsenal,MID,5.9,0.5,18,1,1.0,2.0,323,1,0,2,1,0,0,0,0,0,0,0,65,75.6,57.9,68.0,19.8,0.34,0.18,0.52,2.20,True,True,,,195384,0,0,-1,1,0,3,2.0,2.0,Mikel,False,,,59,195384.jpg,False,Merino Zazón,False,,a,1,3,79008,882,102207,3574,0.2,3.1,200.0,2024-08-27,1996-06-22,False,p195384,9,21,7,37,3,229,98,174,117,134,81,211,109,,,,,,,0.09,0.0,0.05,0.14,0.61,0.28,98,66,280,137,276,124,229,79,0.84,0.56,10.31
23,Fábio Vieira,Arsenal,MID,5.4,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,Fábio,False,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,438098.jpg,False,Ferreira Vieira,False,,u,1,3,933,0,4238,15,0.0,0.0,173.0,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,726,318,725,318,720,317,726,318,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,174,108,710,309,726,318,653,271,0.0,0.0,0.0
24,Nørgaard,Arsenal,MID,5.2,0.1,2,1,0.7,1.0,14,0,0,0,0,0,0,0,0,0,0,0,7,6.4,0.1,7.0,1.4,0.05,0.00,0.05,0.05,True,True,100.0,100.0,128295,0,0,-3,3,0,3,1.7,1.7,Christian,False,,2025-08-18T08:00:05.297235Z,52,128295.jpg,False,Nørgaard,False,,a,1,3,3868,122,54985,270,0.1,0.4,58.0,2025-07-10,1994-03-10,False,p128295,2,2,0,4,0,401,187,415,204,329,176,408,193,,,,,,,0.32,0.0,0.0,0.32,0.32,0.0,215,134,298,145,406,193,406,137,0.0,0.0,25.71
25,Nwaneri,Arsenal,MID,5.2,0.1,7,1,0.3,1.4,163,0,0,1,0,0,0,0,0,0,0,0,17,8.4,22.4,24.0,5.4,0.23,0.08,0.31,0.73,True,True,,,499175,0,0,-3,3,0,3,1.3,1.3,Ethan,False,,,52,499175.jpg,False,Nwaneri,False,,a,1,3,10216,187,29317,457,0.1,1.3,241.0,2022-09-17,2007-03-21,False,p499175,1,10,2,13,0,393,184,287,164,264,144,352,171,4.0,,3.0,,,,0.13,0.0,0.04,0.17,0.4,0.0,229,142,349,171,336,158,401,134,0.0,0.55,7.18
26,Zubimendi,Arsenal,MID,5.5,3.5,43,3,3.7,4.3,847,2,0,7,3,0,0,0,1,0,0,3,177,178.4,141.1,47.0,36.7,0.26,0.91,1.17,5.26,True,True,75.0,,481655,0,0,0,0,1,3,3.5,4.7,Martín,False,Muscle injury - 75% chance of playing,2025-11-01T18:30:07.784912Z,55,481655.jpg,False,Zubimendi Ibáñez,False,,d,1,3,596508,1392,475922,42972,0.7,7.8,200.0,2025-07-06,1999-02-02,False,p481655,29,30,18,77,9,79,27,57,44,186,107,86,52,,,,,,,0.03,0.0,0.1,0.13,0.56,0.32,151,96,93,43,59,24,95,31,0.96,0.74,8.18
28,Kabia,Arsenal,MID,4.5,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,588796,0,0,0,0,0,3,0.0,0.0,Ismeal,False,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,45,588796.jpg,False,Kabia,False,,u,1,3,6731,0,27662,254,0.0,0.0,152.0,2024-09-14,2005-12-10,False,p588796,0,0,0,0,0,660,273,654,274,635,267,661,274,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,470,283,622,251,667,277,436,150,0.0,0.0,0.0
29,Sambi,Arsenal,MID,4.5,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,437742,0,0,0,0,0,3,0.0,0.0,Albert,False,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,45,437742.jpg,False,Sambi Lokonga,False,,u,1,3,2952,0,12970,105,0.0,0.0,21.0,2021-07-19,1999-10-22,False,p437742,0,0,0,0,0,620,241,613,242,594,235,621,242,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,420,249,584,221,629,247,544,198,0.0,0.0,0.0
30,Havertz,Arsenal,FWD,7.3,0.3,1,0,0.0,1.0,30,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,0.00,0.01,0.01,0.82,True,True,0.0,0.0,219847,0,0,-2,2,0,4,0.0,0.0,Kai,False,Knee injury - Expected back 23 Nov,2025-08-20T13:00:06.498911Z,73,219847.jpg,False,Havertz,False,,i,1,3,8920,30,108643,246,0.0,0.1,80.0,2023-06-28,1999-06-11,False,p219847,1,2,0,3,0,419,46,396,46,378,49,422,49,,,,,,,0.0,0.0,0.03,0.03,2.46,0.0,27,11,742,82,428,53,289,46,0.0,0.0,9.0
31,G.Jesus,Arsenal,FWD,6.4,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,0.0,0.0,205651,0,0,-1,1,0,4,0.0,0.0,Gabriel,False,Knee injury - Expected back 30 Dec,2025-07-21T10:00:04.697564Z,64,205651.jpg,False,Fernando de Jesus,False,,i,1,3,1184,36,3704,75,0.0,0.0,30.0,2022-07-04,1997-04-03,False,p205651,0,0,0,0,0,740,79,740,79,740,79,740,79,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,63,21,733,77,740,79,596,75,0.0,0.0,0.0
266,Eze,Arsenal,MID,7.6,14.1,39,3,5.7,4.3,613,1,3,6,2,0,0,0,0,0,0,3,132,122.2,90.7,170.0,38.3,1.56,0.90,2.46,3.76,True,True,,,232413,0,0,1,-1,1,3,6.7,6.7,Eberechi,False,,,76,232413.jpg,False,Eze,False,,a,1,3,1603306,20651,1200182,51719,0.8,5.1,241.0,2025-08-23,1998-06-29,False,p232413,6,23,7,36,7,155,61,112,80,35,18,77,49,1.0,,1.0,,1.0,,0.23,0.0,0.13,0.36,0.55,0.29,21,14,28,14,64,27,30,12,1.03,0.88,5.29
662,Mosquera,Arsenal,DEF,5.4,0.2,13,0,0.3,2.2,292,0,0,1,2,0,0,0,0,0,0,1,64,67.0,13.4,8.0,8.9,0.00,0.09,0.09,1.52,True,True,,,500040,0,0,-1,1,0,2,1.3,1.3,Cristhian,False,,,54,500040.jpg,False,Mosquera,False,,a,1,3,24592,110,26265,974,0.1,2.4,200.0,2025-07-24,2004-06-27,False,p500040,20,13,8,28,2,242,96,323,110,320,107,320,108,,,,,,,0.0,0.0,0.03,0.03,0.47,0.62,183,23,353,118,243,90,383,139,0.62,0.31,8.63
666,Gyökeres,Arsenal,FWD,9.0,20.4,37,7,3.7,3.7,801,4,0,5,3,0,0,0,1,0,0,4,143,158.6,106.9,312.0,57.7,4.45,0.66,5.11,4.39,True,True,75.0,,224117,0,0,0,0,1,4,3.5,4.7,Viktor,False,Muscle injury - 75% chance of playing,2025-11-01T18:00:08.847750Z,90,224117.jpg,False,Gyökeres,False,,d,1,3,2390717,13907,2927411,112394,0.4,4.1,206.0,2025-07-26,1998-06-04,False,p224117,7,20,2,29,10,96,7,88,6,4,3,21,6,,,,,2.0,,0.5,0.0,0.07,0.57,0.49,0.34,6,3,96,11,104,12,19,5,1.12,0.56,3.26
700,Dowman,Arsenal,MID,4.3,0.3,5,0,0.0,2.5,27,0,1,0,0,0,0,0,0,0,0,0,13,1.0,0.8,26.0,2.8,0.14,0.02,0.16,0.12,True,True,,,616077,-1,1,-2,2,0,3,1.0,1.0,Max,False,,,43,616077.jpg,False,Dowman,False,,a,1,3,81195,4136,55174,2131,0.0,1.2,241.0,2025-07-22,2009-12-31,False,p616077,0,1,2,3,0,429,203,391,197,252,139,388,183,,,,,,,0.47,0.0,0.07,0.54,0.4,0.0,607,333,518,186,211,92,296,104,0.0,0.0,10.0
711,Harriman-Annous,Arsenal,MID,4.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,True,,,646243,0,0,0,0,0,3,1.0,1.0,Andre,False,,,45,646243.jpg,False,Harriman-Annous,False,,a,1,3,1059,9,800,27,0.0,0.0,241.0,2025-07-22,2007-12-28,False,p646243,0,0,0,0,0,674,285,667,285,649,279,675,286,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,487,296,635,263,677,286,691,297,0.0,0.0,0.0
725,Hincapie,Arsenal,DEF,5.4,0.0,2,1,0.7,1.0,26,0,0,0,0,0,0,0,0,0,0,0,7,0.8,0.6,0.0,0.1,0.00,0.00,0.00,0.41,True,True,100.0,100.0,448104,0,0,-1,1,0,2,1.7,1.7,Piero,False,,2025-09-24T06:00:06.296709Z,54,448104.jpg,False,Hincapié,False,,a,1,3,4241,101,3741,111,0.1,0.4,62.0,2025-09-01,2002-01-09,False,p448104,0,0,0,0,0,431,150,400,144,722,246,434,151,,,,,,,0.0,0.0,0.0,0.0,1.42,0.0,178,22,300,101,415,142,631,217,0.0,0.0,0.0
32,Martinez,Aston Villa,GKP,5.0,2.0,26,1,3.0,3.2,720,0,0,2,7,0,0,0,1,0,17,1,122,138.4,3.0,0.0,14.1,0.00,0.03,0.03,8.80,True,True,100.0,100.0,98980,0,0,0,0,1,1,3.0,2.5,Emiliano,False,,2025-10-03T14:00:08.570704Z,50,98980.jpg,False,Martínez Romero,False,,a,2,7,193501,3233,160104,3213,0.6,5.2,10.0,2020-09-16,1992-09-02,False,p98980,7,71,0,0,8,127,16,374,9,687,77,262,16,,,,,,,0.0,2.12,0.0,0.0,1.1,0.88,242,9,125,12,141,15,128,17,1.0,0.25,0.0
33,M.Bizot,Aston Villa,GKP,4.3,0.5,7,0,0.0,3.5,180,0,0,1,3,0,0,0,1,0,4,0,22,25.4,0.0,0.0,2.6,0.00,0.00,0.00,4.10,True,True,,,72147,0,0,-2,2,0,1,0.0,-0.5,Marco,False,,,43,72147.jpg,False,Bizot,False,,a,2,7,75450,85,92725,914,0.0,1.6,152.0,2025-07-15,1991-03-10,False,p72147,4,19,0,0,2,342,27,537,64,506,51,390,27,,,,,,,0.0,2.0,0.0,0.0,2.05,1.5,575,33,501,70,111,10,235,32,1.0,0.5,0.0
34,Gauci,Aston Villa,GKP,4.0,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,462492,0,0,0,0,0,1,0.0,0.0,Joe,False,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,40,462492.jpg,False,Gauci,False,,u,2,7,0,0,13632,144,0.0,0.0,13.0,2024-02-01,2000-07-04,False,p462492,0,0,0,0,0,511,60,497,47,464,34,512,60,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,652,62,461,53,520,60,430,66,0.0,0.0,0.0
35,Marschall,Aston Villa,GKP,4.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,True,False,0.0,0.0,462381,0,0,0,0,0,1,0.0,0.0,Filip,False,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,462381.jpg,False,Marschall,False,,u,2,7,0,0,1005,8,0.0,0.0,241.0,2021-12-13,2003-04-24,False,p462381,0,0,0,0,0,510,59,496,46,463,33,511,59,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,651,61,460,52,519,59,694,81,0.0,0.0,0.0
36,Cash,Aston Villa,DEF,4.6,5.2,46,0,4.8,4.6,876,2,0,3,9,0,0,0,3,0,0,5,158,221.2,138.2,48.0,40.9,0.21,0.70,0.91,11.97,True,True,,,199796,0,0,1,-1,2,2,4.8,4.3,Matty,False,,,46,199796.jpg,False,Cash,False,,a,2,7,698320,17432,415722,10114,1.0,10.0,172.0,2020-09-03,1997-08-07,False,p199796,44,23,16,60,10,46,17,59,12,181,41,69,16,,,,,,,0.02,0.0,0.07,0.09,1.23,0.92,388,68,45,17,43,18,69,24,1.03,0.31,6.16
37,Digne,Aston Villa,DEF,4.5,1.6,33,1,3.2,3.3,727,0,2,3,6,0,0,0,2,0,0,0,141,135.4,161.1,58.0,35.3,0.27,1.21,1.48,9.36,True,True,100.0,100.0,101188,0,0,0,0,0,2,3.2,2.7,Lucas,False,,2025-10-23T13:30:07.954318Z,45,101188.jpg,False,Digne,False,,a,2,7,124434,1477,159528,2590,0.7,7.3,73.0,2022-01-13,1993-07-20,False,p101188,24,24,14,38,9,130,57,47,9,156,32,92,28,7.0,,2.0,,,,0.03,0.0,0.15,0.18,1.16,0.74,394,71,111,41,129,47,144,57,1.11,0.37,4.7
